EmployeeNumber,Age,Gender,MaritalStatus,Department,JobRole,JobLevel,MonthlyIncome,YearsAtCompany,TrainingTimesLastYear,JobSatisfaction,WorkLifeBalance,EnvironmentSatisfaction,PerformanceRating,OverTime,DistanceFromHome,BusinessTravel,StockOptionLevel,Attrition,AnnualIncome,IncomePerYearAtCompany
1207,38,Female,Single,Sales,Sales Representative,1,8048,4,5,4,2,3,2,No,22,Travel_Frequently,3,Yes,96576,19315.2
1208,57,Male,Married,Research & Development,Research Scientist,3,8226,1,6,2,2,3,2,No,14,Travel_Frequently,1,No,98712,49356.0
1209,54,Male,Married,Sales,Sales Representative,1,11177,14,2,1,2,1,3,Yes,2,Travel_Frequently,3,No,134124,8941.6
1210,45,Male,Married,Sales,Sales Executive,2,7474,25,0,3,1,3,3,Yes,26,Travel_Rarely,0,No,89688,3449.54
1211,24,Female,Married,Research & Development,Manufacturing Director,1,12271,1,0,4,1,1,3,Yes,28,Travel_Frequently,1,No,147252,73626.0
1212,35,Female,Divorced,Research & Development,Research Director,5,9596,12,6,3,2,2,3,No,13,Travel_Rarely,0,Yes,115152,8857.85
1213,43,Male,Divorced,Research & Development,Manufacturing Director,2,3854,7,0,3,1,1,2,Yes,25,Travel_Rarely,1,Yes,46248,5781.0
1214,40,Female,Married,Sales,Sales Representative,3,6282,2,6,2,4,4,3,No,27,Travel_Rarely,2,Yes,75384,25128.0
1215,30,Male,Married,Research & Development,Manufacturing Director,2,7871,8,4,4,4,1,3,No,26,Travel_Rarely,2,No,94452,10494.67
1216,30,Female,Married,Sales,Sales Executive,2,10282,5,6,2,4,2,3,No,23,Travel_Rarely,0,No,123384,20564.0
1217,32,Female,Married,Research & Development,Research Scientist,2,5080,10,5,4,4,3,4,No,2,Travel_Rarely,2,No,60960,5541.82
1218,44,Male,Married,Research & Development,Laboratory Technician,3,5569,17,0,4,2,1,3,No,6,Travel_Rarely,0,No,66828,3712.67
1219,48,Female,Married,Research & Development,Research Scientist,4,3385,6,6,3,2,1,2,No,23,Travel_Rarely,3,No,40620,5802.86
1220,27,Female,Divorced,Research & Development,Research Scientist,2,8744,4,3,4,4,2,1,Yes,5,Travel_Frequently,0,No,104928,20985.6
1221,34,Male,Divorced,Research & Development,Research Scientist,3,8037,10,2,2,1,3,4,No,6,Travel_Rarely,2,No,96444,8767.64
1222,36,Female,Married,Research & Development,Research Scientist,3,7990,15,2,1,2,3,3,Yes,20,Travel_Rarely,1,Yes,95880,5992.5
1223,35,Male,Single,Sales,Manager,5,7098,3,2,3,1,1,4,No,26,Travel_Rarely,1,No,85176,21294.0
1224,23,Male,Married,Research & Development,Research Scientist,3,8410,1,2,3,2,2,4,No,16,Travel_Rarely,2,No,100920,50460.0
1225,25,Male,Married,Sales,Sales Executive,2,6197,5,4,2,4,3,3,Yes,11,Travel_Rarely,2,No,74364,12394.0
1226,31,Female,Married,Sales,Manager,4,9311,5,0,1,2,2,2,No,4,Travel_Rarely,1,Yes,111732,18622.0
1227,54,Male,Married,Human Resources,Manager,2,9885,11,2,2,2,1,3,No,6,Travel_Rarely,0,Yes,118620,9885.0
1228,32,Male,Married,Research & Development,Manufacturing Director,1,9334,7,4,4,4,4,3,No,20,Travel_Rarely,3,No,112008,14001.0
1229,48,Female,Single,Research & Development,Research Director,1,4961,8,0,3,4,3,3,Yes,10,Travel_Rarely,2,No,59532,6614.67
1230,33,Female,Married,Research & Development,Research Scientist,2,9690,0,2,4,2,3,3,No,29,Travel_Rarely,3,No,116280,116280.0
1231,53,Male,Single,Research & Development,Research Scientist,3,6559,2,3,2,2,4,3,Yes,8,Travel_Rarely,3,Yes,78708,26236.0
1232,57,Female,Married,Research & Development,Manufacturing Director,2,6596,12,3,4,3,3,2,Yes,22,Travel_Rarely,2,No,79152,6088.62
1233,45,Male,Single,Research & Development,Research Scientist,5,3634,22,0,1,4,2,3,No,10,Travel_Rarely,0,No,43608,1896.0
1234,38,Male,Married,Research & Development,Laboratory Technician,1,9153,14,6,3,4,4,3,Yes,23,Travel_Rarely,1,No,109836,7322.4
1235,40,Male,Married,Sales,Sales Representative,5,4496,15,2,4,1,1,3,No,4,Travel_Rarely,0,No,53952,3372.0
1236,52,Male,Single,Research & Development,Manufacturing Director,4,8027,21,4,4,1,2,3,No,25,Travel_Rarely,2,No,96324,4378.36
1237,29,Female,Divorced,Sales,Sales Representative,3,1800,5,2,4,3,1,3,No,3,Travel_Rarely,2,No,21600,3600.0
1238,42,Male,Single,Sales,Manager,2,8830,19,4,3,1,4,4,Yes,13,Travel_Rarely,3,No,105960,5298.0
1239,38,Male,Married,Research & Development,Research Director,5,4700,12,1,2,3,1,3,No,27,Travel_Rarely,0,No,56400,4338.46
1240,38,Female,Married,Sales,Sales Executive,3,4541,6,5,4,1,2,3,No,14,Non-Travel,0,No,54492,7784.57
1241,31,Male,Single,Human Resources,Manager,4,4917,3,5,1,3,3,4,No,9,Travel_Rarely,1,No,59004,14751.0
1242,29,Male,Single,Human Resources,Human Resources,3,6786,7,1,2,3,3,3,No,11,Travel_Rarely,2,No,81432,10179.0
1243,44,Female,Single,Human Resources,Human Resources,3,5503,5,0,1,3,4,3,No,22,Travel_Rarely,0,No,66036,11006.0
1244,38,Male,Single,Research & Development,Research Director,3,8782,5,5,4,4,4,4,No,2,Travel_Rarely,1,Yes,105384,17564.0
1245,53,Male,Divorced,Sales,Manager,2,1800,13,2,2,2,4,3,Yes,14,Travel_Rarely,3,No,21600,1542.86
1246,48,Male,Married,Human Resources,Human Resources,1,7447,8,6,4,3,2,4,No,24,Travel_Rarely,2,No,89364,9929.33
1247,31,Male,Divorced,Research & Development,Laboratory Technician,5,5811,2,2,3,4,2,2,Yes,15,Travel_Rarely,2,No,69732,23244.0
1248,44,Male,Single,Human Resources,Human Resources,2,3820,15,1,4,1,1,2,Yes,25,Travel_Frequently,3,No,45840,2865.0
1249,36,Male,Married,Human Resources,Manager,3,7939,4,6,1,2,1,1,Yes,12,Travel_Frequently,3,Yes,95268,19053.6
1250,31,Male,Single,Research & Development,Manufacturing Director,2,10630,8,4,1,1,1,3,Yes,11,Travel_Rarely,2,Yes,127560,14173.33
1251,23,Male,Single,Sales,Manager,5,7558,3,6,2,2,4,3,No,8,Travel_Rarely,1,Yes,90696,22674.0
1252,55,Male,Married,Research & Development,Research Director,5,12401,22,6,4,3,1,2,Yes,1,Travel_Rarely,0,No,148812,6470.09
1253,43,Female,Single,Research & Development,Laboratory Technician,1,1800,7,1,3,4,2,2,Yes,22,Travel_Frequently,0,No,21600,2700.0
1254,48,Female,Divorced,Research & Development,Research Scientist,2,6378,12,3,3,1,3,2,No,3,Travel_Rarely,0,No,76536,5887.38
1255,39,Male,Married,Sales,Sales Executive,3,7846,13,6,3,3,4,3,No,23,Non-Travel,2,No,94152,6725.14
1256,45,Female,Married,Research & Development,Research Director,2,6671,16,3,3,4,2,3,No,3,Non-Travel,0,No,80052,4708.94
1257,49,Male,Divorced,Human Resources,Human Resources,1,6247,1,6,3,3,1,3,Yes,24,Travel_Frequently,1,No,74964,37482.0
1258,37,Male,Married,Research & Development,Laboratory Technician,4,3406,2,4,2,2,3,3,No,18,Travel_Rarely,1,No,40872,13624.0
1259,25,Male,Divorced,Research & Development,Laboratory Technician,3,7207,1,4,3,3,3,4,No,9,Non-Travel,1,No,86484,43242.0
1260,40,Male,Married,Sales,Sales Representative,3,10446,4,0,4,1,3,3,No,22,Non-Travel,1,No,125352,25070.4
1261,30,Female,Married,Research & Development,Research Director,1,8308,4,3,4,2,2,2,No,25,Non-Travel,1,Yes,99696,19939.2
1262,35,Male,Single,Human Resources,Manager,5,3120,2,2,4,2,1,1,Yes,3,Travel_Rarely,2,No,37440,12480.0
1263,39,Female,Married,Sales,Sales Representative,4,1800,15,6,1,4,1,1,No,15,Travel_Frequently,3,No,21600,1350.0
1264,29,Female,Single,Research & Development,Research Director,3,10495,6,3,3,1,3,3,No,8,Travel_Rarely,0,Yes,125940,17991.43
1265,57,Male,Married,Research & Development,Research Scientist,4,2236,11,1,2,4,1,3,Yes,14,Travel_Rarely,0,No,26832,2236.0
1266,34,Female,Single,Research & Development,Research Scientist,1,5674,9,3,4,2,3,3,Yes,23,Travel_Rarely,3,No,68088,6808.8
1267,51,Male,Single,Research & Development,Research Director,4,11119,12,5,2,1,3,3,No,4,Travel_Rarely,2,No,133428,10263.69
1268,30,Female,Divorced,Research & Development,Laboratory Technician,2,5051,3,5,2,4,1,3,Yes,23,Non-Travel,3,No,60612,15153.0
1269,40,Male,Single,Research & Development,Research Scientist,2,6041,2,6,1,3,4,3,No,19,Travel_Rarely,1,No,72492,24164.0
1270,52,Female,Divorced,Sales,Sales Executive,2,3913,10,6,3,4,3,1,No,4,Travel_Frequently,0,No,46956,4268.73
1271,28,Male,Married,Research & Development,Laboratory Technician,4,8665,2,2,3,3,2,3,No,11,Travel_Rarely,2,No,103980,34660.0
1272,51,Male,Single,Research & Development,Laboratory Technician,1,6209,19,1,4,1,4,3,No,29,Travel_Rarely,0,No,74508,3725.4
1273,41,Female,Single,Research & Development,Laboratory Technician,4,5557,15,3,4,2,1,3,No,2,Non-Travel,1,No,66684,4167.75
1274,22,Female,Single,Human Resources,Manager,2,6855,2,1,4,1,3,3,Yes,27,Travel_Rarely,3,Yes,82260,27420.0
1275,35,Male,Married,Research & Development,Manufacturing Director,5,8140,5,5,2,4,4,3,No,4,Travel_Rarely,0,No,97680,16280.0
1276,44,Female,Single,Research & Development,Research Director,4,7978,12,4,4,4,1,3,Yes,4,Travel_Frequently,0,No,95736,7364.31
1277,38,Male,Single,Research & Development,Manufacturing Director,3,5299,7,0,3,1,4,1,Yes,11,Travel_Rarely,2,No,63588,7948.5
1278,41,Female,Single,Research & Development,Research Scientist,5,7917,2,6,1,1,4,3,No,25,Travel_Rarely,2,Yes,95004,31668.0
1279,32,Female,Single,Research & Development,Manufacturing Director,1,5210,2,4,2,2,1,3,No,26,Travel_Rarely,3,No,62520,20840.0
1280,56,Female,Married,Research & Development,Research Director,4,6740,4,3,4,3,2,3,No,13,Travel_Rarely,2,Yes,80880,16176.0
1281,43,Male,Married,Research & Development,Laboratory Technician,3,6998,12,1,3,2,3,3,Yes,20,Travel_Rarely,2,No,83976,6459.69
1282,33,Male,Single,Research & Development,Laboratory Technician,3,2320,6,2,3,3,4,1,No,27,Travel_Rarely,1,No,27840,3977.14
1283,29,Male,Married,Research & Development,Research Director,4,11174,7,0,3,3,3,3,No,4,Travel_Rarely,0,No,134088,16761.0
1284,25,Male,Single,Sales,Sales Executive,5,7935,2,3,3,3,2,4,No,11,Travel_Rarely,3,No,95220,31740.0
1285,54,Male,Married,Research & Development,Research Director,1,4073,16,4,4,3,2,4,Yes,20,Travel_Rarely,1,No,48876,2875.06
1286,44,Female,Married,Sales,Sales Representative,2,6554,24,0,3,1,3,2,No,18,Travel_Rarely,3,Yes,78648,3145.92
1287,55,Male,Single,Research & Development,Laboratory Technician,5,7471,21,0,4,4,3,2,No,18,Travel_Rarely,3,No,89652,4075.09
1288,39,Male,Single,Research & Development,Research Director,2,6155,15,4,3,4,3,2,No,4,Travel_Frequently,0,No,73860,4616.25
1289,51,Male,Married,Sales,Sales Executive,4,3020,6,6,1,4,4,3,No,26,Travel_Rarely,1,Yes,36240,5177.14
1290,54,Male,Single,Research & Development,Research Scientist,5,4672,9,6,4,4,3,4,No,27,Travel_Rarely,0,No,56064,5606.4
1291,39,Female,Married,Sales,Sales Representative,3,8601,11,2,1,4,3,2,No,12,Travel_Rarely,1,No,103212,8601.0
1292,27,Female,Married,Sales,Sales Executive,4,7019,1,2,3,4,4,4,No,23,Travel_Rarely,2,Yes,84228,42114.0
1293,44,Female,Married,Research & Development,Research Director,3,5477,9,4,3,3,2,1,No,7,Travel_Rarely,3,No,65724,6572.4
1294,50,Male,Married,Research & Development,Research Director,3,9487,18,3,4,1,3,3,Yes,26,Travel_Rarely,0,Yes,113844,5991.79
1295,35,Female,Married,Sales,Sales Executive,4,6938,4,0,2,1,1,2,No,14,Travel_Rarely,3,No,83256,16651.2
1296,27,Female,Married,Research & Development,Research Scientist,2,3858,6,2,3,3,4,3,Yes,13,Travel_Rarely,2,No,46296,6613.71
1297,53,Female,Married,Research & Development,Manufacturing Director,4,7475,15,4,4,2,2,2,Yes,13,Travel_Rarely,2,No,89700,5606.25
1298,33,Female,Single,Sales,Sales Representative,5,7768,12,2,3,2,2,4,No,11,Travel_Frequently,1,No,93216,7170.46
1299,43,Male,Divorced,Research & Development,Manufacturing Director,4,8450,17,2,3,3,4,3,Yes,28,Travel_Rarely,0,No,101400,5633.33
1300,37,Male,Married,Sales,Sales Executive,3,5165,5,5,2,4,1,2,No,22,Non-Travel,1,No,61980,10330.0
1301,42,Female,Married,Sales,Manager,1,9920,10,2,3,1,1,3,No,13,Travel_Rarely,2,No,119040,10821.82
1302,28,Male,Single,Research & Development,Manufacturing Director,1,4278,1,0,4,3,1,3,No,27,Travel_Rarely,1,No,51336,25668.0
1303,49,Male,Single,Research & Development,Laboratory Technician,5,8066,24,0,2,3,2,2,No,11,Travel_Frequently,1,Yes,96792,3871.68
1304,39,Female,Married,Research & Development,Manufacturing Director,1,13478,16,5,1,1,1,3,Yes,3,Travel_Rarely,3,No,161736,9513.88
1305,44,Female,Married,Research & Development,Research Scientist,2,11096,18,1,1,2,1,2,No,1,Travel_Rarely,0,No,133152,7008.0
1306,52,Female,Divorced,Human Resources,Manager,5,4903,9,3,2,1,3,1,No,18,Travel_Rarely,2,No,58836,5883.6
1307,38,Female,Single,Research & Development,Laboratory Technician,2,6931,14,3,3,1,3,4,No,13,Travel_Frequently,0,No,83172,5544.8
1308,32,Female,Single,Research & Development,Research Scientist,2,9698,2,4,1,4,4,3,Yes,4,Travel_Rarely,0,Yes,116376,38792.0
1309,42,Female,Married,Research & Development,Research Scientist,1,6752,18,3,3,1,2,3,Yes,18,Travel_Rarely,0,No,81024,4264.42
1310,56,Male,Married,Sales,Manager,4,7489,17,2,2,3,2,3,No,5,Travel_Frequently,2,No,89868,4992.67
1311,56,Male,Married,Research & Development,Manufacturing Director,3,6352,5,0,3,4,2,4,Yes,17,Travel_Rarely,3,No,76224,12704.0
1312,28,Female,Married,Sales,Sales Executive,1,7425,1,5,2,3,1,3,No,23,Travel_Rarely,1,Yes,89100,44550.0
1313,24,Male,Married,Sales,Manager,5,4420,2,2,4,1,1,3,Yes,22,Non-Travel,2,No,53040,17680.0
1314,28,Male,Married,Human Resources,Human Resources,3,5726,0,6,4,2,1,2,No,12,Travel_Rarely,0,No,68712,68712.0
1315,56,Female,Single,Research & Development,Research Scientist,2,5286,15,3,1,2,2,3,No,17,Travel_Rarely,1,No,63432,3964.5
1316,29,Male,Single,Research & Development,Laboratory Technician,4,1800,2,4,3,1,1,2,No,2,Non-Travel,0,Yes,21600,7200.0
1317,39,Male,Married,Research & Development,Laboratory Technician,1,9731,5,0,4,4,2,3,No,2,Travel_Rarely,0,No,116772,19462.0
1318,38,Female,Single,Sales,Sales Representative,1,6104,15,6,3,3,1,3,No,21,Travel_Rarely,0,No,73248,4578.0
1319,30,Female,Married,Sales,Manager,5,2977,8,5,4,2,3,3,No,22,Travel_Frequently,1,No,35724,3969.33
1320,25,Female,Single,Sales,Sales Executive,1,5478,3,0,2,3,4,3,Yes,27,Travel_Frequently,3,Yes,65736,16434.0
1321,34,Male,Divorced,Research & Development,Research Scientist,3,6965,0,0,3,2,2,4,No,10,Travel_Rarely,1,No,83580,83580.0
1322,27,Male,Single,Research & Development,Laboratory Technician,5,5147,5,3,1,1,2,4,No,17,Travel_Frequently,1,Yes,61764,10294.0
1323,27,Male,Married,Research & Development,Manufacturing Director,1,9704,5,6,1,3,4,2,No,17,Travel_Rarely,2,No,116448,19408.0
1324,55,Female,Married,Sales,Manager,1,5256,0,1,2,3,2,3,Yes,23,Travel_Rarely,3,Yes,63072,63072.0
1325,56,Male,Single,Human Resources,Human Resources,4,5769,20,5,4,1,4,1,Yes,29,Travel_Rarely,1,No,69228,3296.57
1326,28,Male,Married,Research & Development,Laboratory Technician,2,3973,1,6,1,2,2,3,No,14,Travel_Rarely,0,No,47676,23838.0
1327,22,Male,Married,Research & Development,Research Director,5,7608,1,6,2,3,3,4,Yes,1,Travel_Frequently,3,No,91296,45648.0
1328,48,Male,Married,Research & Development,Research Scientist,5,4210,24,0,1,2,3,3,No,26,Travel_Rarely,2,No,50520,2020.8
1329,28,Female,Married,Research & Development,Research Director,2,7897,1,5,3,3,2,3,No,29,Travel_Rarely,1,No,94764,47382.0
1330,33,Female,Married,Sales,Sales Executive,3,8654,7,3,4,2,2,2,No,27,Travel_Rarely,1,No,103848,12981.0
1331,43,Male,Single,Research & Development,Laboratory Technician,5,7527,10,4,1,4,4,3,No,11,Travel_Rarely,1,Yes,90324,8211.27
1332,45,Male,Married,Research & Development,Manufacturing Director,3,5353,8,5,1,1,1,2,Yes,18,Travel_Frequently,1,Yes,64236,7137.33
1333,41,Female,Married,Sales,Sales Representative,3,5884,8,1,1,4,1,3,Yes,4,Travel_Rarely,0,No,70608,7845.33
1334,47,Male,Single,Sales,Sales Representative,3,7989,24,1,2,2,1,3,Yes,17,Travel_Rarely,1,Yes,95868,3834.72
1335,24,Male,Married,Sales,Sales Executive,5,9377,2,3,2,2,2,3,No,14,Non-Travel,0,No,112524,37508.0
1336,50,Female,Single,Sales,Sales Representative,2,5952,6,0,4,2,2,2,No,7,Travel_Rarely,2,Yes,71424,10203.43
1337,25,Male,Single,Research & Development,Laboratory Technician,2,4989,3,5,4,1,4,3,No,14,Non-Travel,3,No,59868,14967.0
1338,44,Male,Divorced,Research & Development,Laboratory Technician,3,1800,16,3,4,3,4,3,No,20,Travel_Rarely,3,No,21600,1270.59
1339,27,Female,Single,Research & Development,Manufacturing Director,3,3878,1,2,4,2,4,2,No,21,Travel_Frequently,2,No,46536,23268.0
1340,36,Male,Single,Sales,Sales Representative,5,6471,2,0,1,2,1,3,No,5,Non-Travel,1,No,77652,25884.0
1341,45,Male,Single,Research & Development,Laboratory Technician,1,5003,22,6,2,2,2,3,No,12,Travel_Rarely,0,No,60036,2610.26
1342,25,Female,Married,Research & Development,Research Scientist,5,9907,1,0,2,3,2,4,No,22,Travel_Rarely,3,No,118884,59442.0
1343,33,Male,Single,Sales,Sales Executive,4,14380,10,3,4,1,2,2,Yes,20,Travel_Rarely,3,No,172560,15687.27
1344,41,Male,Married,Research & Development,Research Scientist,4,4391,6,5,1,2,3,4,No,6,Non-Travel,1,No,52692,7527.43
1345,31,Female,Single,Research & Development,Research Scientist,4,4240,5,0,1,1,4,3,Yes,24,Travel_Frequently,3,No,50880,8480.0
1346,53,Female,Married,Research & Development,Laboratory Technician,5,10341,9,0,1,3,4,2,Yes,2,Travel_Rarely,2,No,124092,12409.2
1347,55,Male,Divorced,Research & Development,Laboratory Technician,5,9701,21,4,2,2,3,4,No,8,Travel_Frequently,3,No,116412,5291.45
1348,34,Female,Single,Sales,Sales Executive,2,7309,7,4,4,3,3,3,No,18,Travel_Rarely,1,Yes,87708,10963.5
1349,39,Male,Married,Research & Development,Research Director,4,7711,12,2,1,2,3,2,Yes,8,Travel_Frequently,3,Yes,92532,7117.85
1350,58,Male,Married,Research & Development,Laboratory Technician,4,9114,6,6,2,1,4,3,No,16,Travel_Frequently,2,No,109368,15624.0
1351,36,Female,Married,Research & Development,Manufacturing Director,2,9109,14,3,4,1,1,2,No,1,Travel_Rarely,2,No,109308,7287.2
1352,34,Female,Divorced,Research & Development,Research Director,1,10018,6,6,4,4,4,1,No,4,Travel_Rarely,1,No,120216,17173.71
1353,49,Male,Married,Research & Development,Laboratory Technician,2,6750,13,1,1,2,4,3,No,13,Travel_Rarely,0,No,81000,5785.71
1354,31,Male,Married,Sales,Sales Executive,3,6904,10,4,3,2,4,3,No,5,Travel_Frequently,1,No,82848,7531.64
1355,33,Female,Single,Sales,Sales Executive,2,8128,8,5,1,1,2,2,Yes,3,Travel_Rarely,3,Yes,97536,10837.33
1356,37,Male,Married,Research & Development,Manufacturing Director,1,3902,11,6,1,4,3,3,Yes,1,Travel_Frequently,2,Yes,46824,3902.0
1357,44,Male,Married,Sales,Manager,3,10743,8,6,3,3,2,3,Yes,24,Travel_Frequently,2,No,128916,14324.0
1358,36,Female,Single,Research & Development,Manufacturing Director,2,5497,3,2,4,1,2,3,Yes,4,Travel_Rarely,2,No,65964,16491.0
1359,52,Female,Single,Human Resources,Human Resources,2,4630,19,4,3,1,1,3,No,5,Travel_Rarely,2,No,55560,2778.0
1360,40,Female,Single,Research & Development,Manufacturing Director,2,6080,12,3,3,1,3,3,Yes,21,Travel_Rarely,1,No,72960,5612.31
1361,31,Male,Single,Research & Development,Laboratory Technician,4,4769,4,4,1,1,4,1,Yes,17,Travel_Rarely,1,Yes,57228,11445.6
1362,54,Male,Divorced,Research & Development,Research Scientist,1,9655,10,6,4,3,2,4,No,10,Travel_Rarely,2,No,115860,10532.73
1363,41,Male,Married,Research & Development,Manufacturing Director,1,9631,4,0,1,1,1,3,No,6,Travel_Frequently,2,No,115572,23114.4
1364,41,Male,Single,Research & Development,Manufacturing Director,3,7494,19,6,1,1,1,3,No,24,Travel_Frequently,0,No,89928,4496.4
1365,28,Female,Divorced,Human Resources,Human Resources,3,10885,3,6,1,1,1,3,Yes,2,Travel_Frequently,2,No,130620,32655.0
1366,25,Male,Divorced,Research & Development,Research Scientist,3,10311,5,4,1,4,2,2,Yes,4,Travel_Rarely,0,Yes,123732,20622.0
1367,45,Male,Single,Human Resources,Human Resources,2,6443,18,0,4,3,3,3,No,21,Travel_Rarely,2,No,77316,4069.26
1368,53,Male,Single,Human Resources,Human Resources,2,1800,17,3,3,3,4,3,No,18,Travel_Rarely,1,No,21600,1200.0
1369,29,Female,Married,Sales,Manager,4,4624,3,3,4,1,2,2,No,28,Non-Travel,2,No,55488,13872.0
1370,33,Female,Divorced,Sales,Sales Executive,2,3384,9,3,4,2,2,4,Yes,6,Travel_Rarely,2,No,40608,4060.8
1371,52,Female,Married,Sales,Manager,2,5614,6,4,2,4,3,3,Yes,6,Travel_Rarely,1,No,67368,9624.0
1372,43,Male,Single,Sales,Manager,2,9101,9,0,3,4,2,3,Yes,29,Travel_Rarely,2,No,109212,10921.2
1373,30,Male,Single,Sales,Sales Representative,5,5036,7,2,4,4,4,3,No,3,Travel_Rarely,1,Yes,60432,7554.0
1374,35,Male,Single,Research & Development,Research Director,1,4099,12,0,2,2,1,2,No,8,Travel_Rarely,0,No,49188,3783.69
1375,24,Male,Married,Sales,Manager,5,5335,4,4,3,4,2,3,Yes,25,Travel_Rarely,0,Yes,64020,12804.0
1376,26,Female,Married,Research & Development,Research Director,2,2729,1,1,2,3,4,3,No,24,Travel_Rarely,2,Yes,32748,16374.0
1377,53,Male,Married,Research & Development,Research Scientist,5,6075,15,4,4,3,3,4,Yes,17,Travel_Rarely,1,Yes,72900,4556.25
1378,50,Female,Married,Sales,Sales Executive,2,6883,7,1,1,2,2,3,No,22,Travel_Frequently,0,Yes,82596,10324.5
1379,39,Male,Married,Research & Development,Research Director,5,6497,5,0,2,3,4,3,No,13,Travel_Rarely,0,No,77964,12994.0
1380,48,Male,Married,Sales,Manager,4,6004,25,5,2,2,1,3,No,27,Travel_Rarely,2,No,72048,2771.08
1381,25,Male,Divorced,Sales,Manager,2,10146,4,2,1,3,4,2,No,11,Travel_Rarely,2,No,121752,24350.4
1382,49,Male,Married,Research & Development,Research Scientist,2,6745,6,2,1,2,2,2,No,20,Travel_Rarely,3,No,80940,11562.86
1383,52,Female,Married,Research & Development,Research Scientist,5,3726,21,0,1,2,2,4,No,16,Travel_Rarely,0,Yes,44712,2032.36
1384,26,Male,Divorced,Research & Development,Research Director,5,9802,5,4,3,4,4,2,Yes,16,Travel_Rarely,2,No,117624,19604.0
1385,46,Male,Married,Research & Development,Research Director,5,6348,20,2,4,4,4,3,No,8,Travel_Rarely,3,No,76176,3627.43
1386,30,Male,Single,Research & Development,Laboratory Technician,5,8450,9,3,1,2,3,2,No,4,Travel_Rarely,2,Yes,101400,10140.0
1387,52,Male,Married,Sales,Sales Executive,1,5153,8,1,3,3,4,3,No,13,Travel_Rarely,3,No,61836,6870.67
1388,48,Male,Married,Sales,Sales Representative,2,8982,25,2,2,2,4,4,No,21,Non-Travel,0,No,107784,4145.54
1389,23,Female,Married,Research & Development,Manufacturing Director,1,7717,1,3,2,3,1,3,No,7,Non-Travel,0,No,92604,46302.0
1390,32,Male,Single,Research & Development,Laboratory Technician,2,5816,7,4,4,3,4,2,No,26,Travel_Rarely,3,No,69792,8724.0
1391,36,Female,Divorced,Human Resources,Human Resources,5,7179,10,2,3,2,3,4,No,4,Travel_Frequently,1,No,86148,7831.64
1392,24,Female,Married,Research & Development,Research Director,4,4992,3,6,1,4,2,2,No,5,Travel_Frequently,0,Yes,59904,14976.0
1393,51,Female,Single,Research & Development,Research Scientist,5,6755,0,2,4,1,4,3,No,24,Non-Travel,3,Yes,81060,81060.0
1394,39,Male,Single,Research & Development,Research Scientist,2,4917,1,6,4,1,1,3,No,7,Travel_Rarely,3,No,59004,29502.0
1395,23,Male,Married,Research & Development,Research Scientist,2,9926,2,6,3,3,1,4,Yes,26,Travel_Frequently,2,Yes,119112,39704.0
1396,35,Male,Married,Human Resources,Manager,3,8999,6,1,3,1,1,3,No,26,Travel_Rarely,0,No,107988,15426.86
1397,50,Male,Divorced,Research & Development,Laboratory Technician,2,10682,14,4,4,1,1,3,No,15,Travel_Frequently,3,No,128184,8545.6
1398,39,Male,Married,Research & Development,Laboratory Technician,1,9298,19,4,4,4,4,3,No,6,Non-Travel,0,No,111576,5578.8
1399,30,Male,Married,Research & Development,Laboratory Technician,1,7384,2,1,2,2,2,3,Yes,3,Travel_Rarely,1,No,88608,29536.0
1400,56,Male,Married,Research & Development,Research Director,4,6855,22,0,1,3,2,3,Yes,22,Travel_Rarely,3,No,82260,3576.52
1401,46,Female,Divorced,Sales,Sales Representative,5,6500,5,1,3,2,3,3,Yes,3,Travel_Rarely,3,No,78000,13000.0
1402,55,Male,Single,Human Resources,Manager,5,10128,25,5,1,3,2,3,No,20,Travel_Rarely,1,No,121536,4674.46
1403,30,Male,Single,Research & Development,Research Scientist,2,8735,2,2,3,3,2,1,No,8,Travel_Rarely,2,No,104820,34940.0
1404,40,Female,Married,Research & Development,Research Director,4,5027,4,6,1,4,1,3,Yes,23,Travel_Rarely,1,Yes,60324,12064.8
1405,34,Male,Divorced,Research & Development,Research Director,2,7303,0,4,2,4,1,4,Yes,26,Travel_Rarely,0,Yes,87636,87636.0
1406,45,Male,Divorced,Research & Development,Research Director,5,6018,17,0,1,2,2,3,No,10,Travel_Rarely,1,No,72216,4012.0
1407,43,Male,Divorced,Research & Development,Laboratory Technician,3,6945,7,1,1,1,3,3,No,9,Travel_Rarely,3,No,83340,10417.5
1408,24,Male,Single,Sales,Manager,1,8834,1,2,2,4,4,2,No,17,Travel_Frequently,0,No,106008,53004.0
1409,49,Female,Married,Human Resources,Human Resources,3,8153,12,2,2,3,2,3,Yes,16,Travel_Frequently,1,Yes,97836,7525.85
1410,37,Male,Divorced,Sales,Sales Executive,2,7128,9,1,4,2,3,3,No,19,Travel_Rarely,2,No,85536,8553.6
1411,22,Male,Married,Research & Development,Research Scientist,2,7978,1,0,2,3,2,3,No,25,Travel_Rarely,2,No,95736,47868.0
1412,24,Female,Married,Human Resources,Human Resources,5,3785,3,5,4,1,1,4,Yes,14,Travel_Rarely,2,No,45420,11355.0
1413,51,Male,Divorced,Human Resources,Human Resources,5,6573,10,2,1,1,2,4,Yes,9,Travel_Frequently,0,No,78876,7170.55
